id_player,player_name,nationality,field_position,position,weight(kg),height(cm),age,team_id,country,team,assists,corners_taken,offsides,dribbles,total_attempts,attempts_on_target,attempts_off_target,blocked,balls_recovered,tackles,tackles_won,tackles_lost,clearance_attempted,fouls_committed,fouls_suffered,yellow_cards,red_cards,passing_accuracy(%),passes_attempted,passes_completed,crossing_accuracy(%),crosses_attempted,crosses_completed,free_kick_taken,matches_appearance,saves,goals_conceded,saves_on_penalty,clean_sheets,punches_made,goals,inside_area,outside_area,right_foot,left_foot,head,other,penalties_scored,distance_covered(km/h),top_speed,minutes_played,avg_goals_per_game,team_index,passes_per_90,assists_per_90,showman_index,appearance,aggression_index,runner_index,saves_per_90,goals_conceded_per_90,punches_made_per_90,clean_sheets_per_90
250064273,Cédric Itten,Switzerland,Forward,STRIKER,75.52745350595953,184.18589403555058,27,50031,Switzerland,BSC Young Boys,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0,0,62.34,20.0,12.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.79,30.28,85.0,0.0,30.747764705882357,12.705882352941178,0.0,0.0,44.0,6.352941176470589,41.07,0.0,0.0,0.0,0.0
1905643,Juraj Kucka,Slovakia,Midfielder,DEFENSIVE_MIDFIELDER,86.34115730307833,186.0,37,52797,Slovakia,ŠK Slovan Bratislava,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,2.0,0,0,75.0,36.0,27.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.42,31.62,85.0,0.0,42.1764705882353,28.58823529411765,0.0,4.235294117647059,43.0,0.0,42.04,0.0,0.0,0.0,0.0
250063617,Jordan Amavi,France,Defender,FULL_BACK,75.30241196601933,182.15323091231693,30,2601306,France,Stade Brestois 29,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0,0,66.0,41.0,27.0,0.0,4.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.39,32.29,84.0,0.0,39.17857142857143,28.928571428571427,0.0,2.142857142857143,42.5,1.6071428571428572,41.68,0.0,0.0,0.0,0.0
250107324,Nicolò Zaniolo,Italy,Forward,ATTACKING_MIDFIELDER,73.61071508498385,185.61158664328235,25,52816,Italy,Atalanta BC,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1,0,83.0,20.0,17.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,12.06,31.28,83.0,1.0843373493975903,40.73012048192771,18.433734939759034,0.0,2.1686746987951806,43.5,8.132530120481928,43.34,0.0,0.0,0.0,4.337349397590361
250003318,Thomas Müller,Germany,Forward,WINGER,71.75138116229815,186.0,35,50037,Germany,FC Bayern München,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,72.0,42.0,31.0,66.67,3.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.27,31.73,83.0,0.0,43.30120481927711,33.614457831325296,1.0843373493975903,0.0,43.0,0.0,43.0,0.0,0.0,0.0,2.1686746987951806
250061589,Casper Nielsen,Denmark,Midfielder,UNKNOWN,75.00348588099504,182.89799171406463,30,50043,Belgium,Club Brugge KV,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,2.0,0.0,2.0,0.0,1.0,2.0,1,0,94.5,11.0,10.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,31.62,83.0,0.0,42.15301204819278,10.843373493975903,0.0,1.0843373493975903,42.5,4.879518072289156,43.42,0.0,0.0,0.0,2.1686746987951806
250137525,Nicolás González,Argentina,Forward,UNKNOWN,72.41500956059946,180.44052968461943,26,50139,Italy,Juventus,1.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0,0,56.5,33.0,25.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9.7,33.33,81.0,1.1111111111111112,34.455555555555556,27.77777777777778,1.1111111111111112,4.444444444444445,41.5,1.1111111111111112,43.03,0.0,0.0,0.0,2.2222222222222223
250172340,Christian Mawissa,France,Defender,Unknown,76.82523591492892,183.7221455788793,19,50023,France,AS Monaco,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,2.0,0.0,2,0,88.0,27.0,21.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.89,32.6,80.0,0.0,44.987500000000004,23.625,0.0,6.75,41.0,10.125,42.49,0.0,0.0,0.0,2.25
250193531,Benjamin Rollheiser,Argentina,Forward,Unknown,74.44568222988985,181.96396236873767,24,50147,Portugal,SL Benfica,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,94.34,38.0,35.0,100.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.49,31.13,79.0,0.0,53.498025316455696,39.87341772151899,0.0,0.0,41.0,0.0,42.62,0.0,0.0,0.0,3.4177215189873418
250199902,Selvi Clua,Spain,Midfielder,Unknown,78.11976698771895,180.25280004079883,19,2602798,Spain,Girona FC,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,2.0,0.0,0,0,86.0,29.0,25.0,100.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.31,30.69,79.0,0.0,45.84430379746835,28.481012658227847,0.0,1.139240506329114,40.0,3.4177215189873418,41.0,0.0,0.0,0.0,0.0
250097337,Luka Ilić,Serbia,Midfielder,CENTRAL_MIDFIELDER,73.13104055201869,180.4262080874223,25,50069,Serbia,FK Crvena Zvezda,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0,0,78.5,31.0,24.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.83,31.33,78.0,0.0,42.807692307692314,27.69230769230769,0.0,0.0,41.0,1.7307692307692306,42.16,0.0,0.0,0.0,1.1538461538461537
